latitude;longitude;stationname;depth;red;green;blue
54.1167;8.855;220051;-1;0;1;1
56.0253;-3.5053;Forth_LowerForthEstuary_wa01;-1;0;1;0
56.0597;-3.7194;Forth_MiddleForthEstuary_wa01;-1;0;1;0
56.0463;-3.6943;Forth_MiddleForthEstuary_wa02;-1;0;1;0
56.0303;-3.652;Forth_MiddleForthEstuary_wa03;-1;0;1;1
56.0392;-3.5872;Forth_MiddleForthEstuary_wa04;-1;0;1;1
56.1275;-3.9347;Forth_UpperForthEstuary_wa01;-1;0;1;1
56.1262;-3.9222;Forth_UpperForthEstuary_wa02;-1;0;1;1
56.1258;-3.9116;Forth_UpperForthEstuary_wa03;-1;0;1;1
56.1243;-3.8949;Forth_UpperForthEstuary_wa04;-1;0;1;1
56.121;-3.8772;Forth_UpperForthEstuary_wa05;-1;0;1;1
56.1084;-3.8694;Forth_UpperForthEstuary_wa06;-1;0;1;1
56.1178;-3.8555;Forth_UpperForthEstuary_wa07;-1;0;1;0
56.1059;-3.8348;Forth_UpperForthEstuary_wa08;-1;0;1;0
56.108;-3.8025;Forth_UpperForthEstuary_wa09;-1;0;1;0
56.0909;-3.7776;Forth_UpperForthEstuary_wa10;-1;0;1;0
56.075;-3.7569;Forth_UpperForthEstuary_wa11;-1;0;1;0
52.9825;4.75;MARSDND;-1;0;1;1
57.6833;-3.9317;MorayF_HiltonOfCadboll_wa01;-1;0;1;1
57.6883;-4.0417;MorayF_OuterCromartyFirth_wa01;-1;0;1;1
