latitude;longitude;stationname;depth;red;green;blue
64.7083;22.0667;F9;123;1;0;1
62.5862;19.9688;US5B;221;1;0;0
61.0833;19.5833;SR5;129;1;0;1
60.189;19.1425;F64;286;1;0;0
64.3;22.35;IOWDBADD1;110;1;0;0
62.1;18.5483;C14;87;1;0;0
58.5833;18.2333;BY31;447;1;0;1
57.305;20.080;IOWDBADD2;240;1;0;0
58;19.9;OMTF0286;194;1;0;0
57.0667;19.8333;BY11;210;1;0;0
56.6333;19.5833;BY10;147;1;0;0
58;18;OMTF0240;170;1;0;0
57.1167;17.6667;BY38;114;1;0;0
57.6167;20.1667;BY19;159;1;0;0
55.55;18.4;BMPK1;89;1;0;1
56.3467;19.3783;OM263;131.3;1;0;0
56.0833;19.1667;OM250;122;1;0;0
58.4417;20.3333;BY21;121.6;1;0;0
55.2167;17.0667;OM222;91;1;0;0
58.8833;20.3167;BY29;186;1;0;0
57.7167;17.3667;BY36;161;1;0;0
55.84;18.8667;OM253;99.8;1;0;0
55.6333;18.6;OMTF0255;94;1;0;0
58.7833;19.1;BY30;185;1;0;0
57.3333;20.05;BY15;240;1;0;1
55.3267;18.2517;OM256;78;1;0;0
57.397	;19.436   ;IOWDBADD4;115.9;1;0;0
54.8333;19.3333;BMPL1;107;1;0;1
59.0333;21.0833;BY28;195;1;0;0
57.149	;19.996   ;IOWDBADD5;222;1;0;0
59.8465;24.8378;LL7;100;1;0;1
59.4833;22.9;H1;85;1;0;0
57.6167;23.6167;HELCOM121;54;1;0;0
59.582	;23.63    ;IOWDBADD6;80;1;0;0
60.0672;26.3467;LL3A;69;1;0;0
59.7	;24.033   ;IOWDBADD7;66;1;0;0
57.3;23.85;HELCOM119;43;1;0;0
57.4;23.4833;HELCOM135;43;1;0;0
57.1667;23.6667;HELCOM102A;40;1;0;0
57.35;24.0833;HELCOM137A;40;1;0;0
57.1667;23.6667;HELCOM102A;40;1;0;0
57.6;24.1167;HELCOM121A;42;1;0;0
59.584	;23.298   ;IOWDBADD8;67;1;0;0
59.916	;25.6     ;IOWDBADD9;70;1;0;0
60.2502;27.2502;KAS-11;65;1;0;0
64.8367;23.1667;RR5;74;1;0;0
64.8003;23.4795;RR6;86;1;0;0
65.3917;23.5;F2;99;1;0;0
65	;23.25    ;IOWDBADD10;86;1;0;0
59.784	;19.932   ;IOWDBADD11;193;1;0;0
60.5417;18.9333;F33;136;1;0;0
57.987	;20.108   ;IOWDBADD12;134;1;0;0
57.992	;20.767   ;IOWDBADD13;94;1;0;0
57.983	;21.084   ;IOWDBADD14;80;1;0;0
57.984	;21.285   ;IOWDBADD15;67;1;0;0
56.955	;20.06    ;IOWDBADD16;171;1;0;0
56.958	;20.41    ;IOWDBADD17;85;1;0;0
56.936	;18.826   ;IOWDBADD18;88;1;0;0
56.942	;19.367   ;IOWDBADD19;170;1;0;0
62.133	;17.867   ;IOWDBADD20;73;1;0;0
61.9833;19.1667;MS6;72;1;0;0
61.9833;20.0667;F26;139;1;0;0
61.767	;20.534   ;IOWDBADD21;101;1;0;0
54.6967 ;12.7067;DarssSill;20.6;1;0;0
55.8667;12.75;Wlandskrona;53.7;1;0;1
55.5083;10.8622;FYN53;37.4;1;0;1
54.998	;10.162   ;IOWDBADD22;36.8;1;0;0
56.1317;11.16;HELCOM925;49;1;0;0
55.6717;10.0883;DMU547;20.4;1;0;0
55.5343;12.708;KBH1728;11.9;1;0;0
56.8567;10.7917;HELCOM409;16;1;0;0
56.6667;12.1167;ANHOLTE;63;1;0;1
54.315;11.55;OMBMPM2;24.4;1;0;0
54.7233;12.7833;OMBMPK8;22.6;1;0;0
57.1917;11.6667;FLADEN;91;1;0;0
54.4667;12.2167;OMBMPM;27.3;1;0;0
54.6583;10.7667;OMBMPN;24;1;0;0
54.5517;11.32;OMBMPN1;27.8;1;0;0
58.48	;10.3     ;IOWDBADD23;361;1;0;0
58.267	;10.725   ;IOWDBADD24;200;1;0;0
59.37	;10.6     ;IOWDBADD25;283;1;0;0
59.183	;10.7     ;IOWDBADD26;354;1;0;0
57.8667;11.3;DMU1004;95;1;0;0
55.603	;10.533   ;IOWDBADD27;17.5;1;0;0
55.976	;12.62    ;IOWDBADD28;23;1;0;0
56.1535;12.306;ROSFRB1939;15.4;1;0;0
56.61	;10.443   ;IOWDBADD29;9.6;1;0;0
55.999	;11.86    ;IOWDBADD30;11.9;1;0;0
56.073	;12.055   ;IOWDBADD31;13.2;1;0;0
55.937	;12.563   ;IOWDBADD32;7.6;1;0;0
58.267	;10.133   ;IOWDBADD3;459;1;0;0
54.925;13.5;OMBMPK5;46.2;1;0;0
55;14.0833;BY2;48;1;0;1
55.4667;14.7167;OMTF0140;68.6;1;0;0
55.25;15.9833;BY5;93;1;0;1
55.3833;15.3333;BY4;93;1;0;0
55.3017;15.7967;OMTF0212;93.6;1;0;0
54.6117;14.0433;OMTF0150;21.6;1;0;0
54.2033;13.905;OMO133;12.7;1;0;0
54.0067;14.2;ODER;11.5;1;0;0
