latitude;longitude;stationname;depth;red;green;blue
53.874;8.116;AuWe_W_1;-1;1;0;1
53.479;6.918;Bork_W_1;-1;1;0;1
53.614;6.874;Bork_W_2;-1;1;0;1
53.732;7.441;Balt_W_1;-1;1;0;1
53.847;8.059;AuWe_W_2;-1;1;0;1
54.05;7.987;E_3;28;0;0;1
54.183;7.937;Eider_I;10;0;0;1
54.18;8.04;Eider_II;30;0;0;1
54.207;8.147;Eider_III;20;0;0;1
54.233;8.305;Eider_IV;12;0;0;1
54.227;8.395;Eider_V;10;0;0;1
54.22;8.483;Eider_VI;6;0;0;1
54.152;7.892;Elbe_I;50;0;0;1
54.102;7.987;Elbe_II;28;0;0;1
54.05;8.083;Elbe_III;20;0;0;1
54.008;8.238;Elbe_IV;20;0;0;1
53.99;8.312;Elbe_V;18;0;0;1
53.982;8.405;Elbe_VI;18;0.5;0;1
53.95;8.5;Elbe_VII;16;0;0;1
53.9;8.68;Elbe_VIII;20;0;0;1
54;6.583;FINO_I;27;1;0;0
55.195;7.158;FINO_III;27;1;0;0
53.481;8.182;JaBu_W_2;-1;1;0;1
53.72;8.062;Jade_W_1;-1;1;0;1
53.594;8.166;Jade_W_2;-1;1;0;1
53.702;7.126;Nney_W_1;-1;1;0;1
54.683;6.783;Nordseeboje_III;40;1;0;0
53.986;8.2201666667;OSee_W_1;-1;1;0;1
53.977;8.432;OSee_W_2;-1;1;0;1
53.998;8.082;OSee_W_3;-1;1;0;1
54.049;7.865;OSee_W_4;-1;1;0;1
54.25;7.383;P8_V;38;0;0;1
54.268;7.192;P8_VI;37;0;0;1
54.142;7.9;P8_I;55;0;0;1
54.183;7.792;P8_II;41;0;0;1
54.158;7.667;P8_III;35;0;0;1
54.15;7.567;P8_IV;35;0;0;1
53.744;7.69;Spog_W_1;-1;1;0;1
53.78;7.828;Spog_W_2;-1;1;0;1
54.167;7.45;UFS_Deutsche_Bucht;33;1;0;0
54.167;6.35;UFS_TW_Ems;33;1;0;0
53.632;8.307;WeMu_W_2;-1;1;0;1
53.7795;8.463;WuKu_W_1;-1;1;0;1
