latitude;longitude;stationname;depth;red;green;blue
54.1167;8.855;220051;-1;0;1;1
54.2433;8.495;220054;-1;0;1;1
54.375;8.5117;220055;-1;0;1;1
54.7133;8.2833;220057;-1;0;1;1
54.905;8.275;220058;-1;0;1;1
54.7883;8.4417;220061;-1;0;1;1
54.67;8.5767;220062;-1;0;1;1
54.495;8.7233;220063;-1;0;1;1
54.4267;8.85;220064;-1;0;1;1
55.0133;8.1167;220067;-1;0;1;1
54.6657;7.832;AMRU2;-1;0;1;1
51.9755;2.0731;Anglia_AnOpenSea_wa;-1;1;1;0
51.5216;1.0223;Anglia_Essex_wa;-1;0;1;0
53.335;6.944;BOCHTVWTM;-1;0;1;1
53.379;5.1672;BOOMKDP;-1;0;1;1
53.4012;5.727;DANTZGT;-1;0;1;1
53.0528;5.0323;DOOVBWT;-1;0;1;1
53.6717;6.4983;ES1;-1;0;1;1
57.395;-1.7958;EScotland_BuchanNess_wa;-1;0;0;1
57.57;-1.8448;EScotland_CairnbulgPoint_wa;-1;0;0;1
55.9047;-2.3767;EScotland_EScIntermediate_wa;-1;0;1;1
56.0742;-1.742;EScotland_EScOpenSea_wa;-1;0;1;0
57.801;-1.7522;Fladen_FlaOpenSea_wa;-1;1;1;0
56.0487;-3.0457;Forth_FirthFInnerOffshore_wa;-1;0;0;1
56.0253;-3.5053;Forth_LowerForthEstuary_wa01;-1;0;1;0
56.0597;-3.7194;Forth_MiddleForthEstuary_wa01;-1;0;1;0
56.0463;-3.6943;Forth_MiddleForthEstuary_wa02;-1;0;1;0
56.0303;-3.652;Forth_MiddleForthEstuary_wa03;-1;0;1;1
56.0392;-3.5872;Forth_MiddleForthEstuary_wa04;-1;0;1;1
56.1275;-3.9347;Forth_UpperForthEstuary_wa01;-1;0;1;1
56.1262;-3.9222;Forth_UpperForthEstuary_wa02;-1;0;1;1
56.1258;-3.9116;Forth_UpperForthEstuary_wa03;-1;0;1;1
56.1243;-3.8949;Forth_UpperForthEstuary_wa04;-1;0;1;1
56.121;-3.8772;Forth_UpperForthEstuary_wa05;-1;0;1;1
56.1084;-3.8694;Forth_UpperForthEstuary_wa06;-1;0;1;1
56.1178;-3.8555;Forth_UpperForthEstuary_wa07;-1;0;1;0
56.1059;-3.8348;Forth_UpperForthEstuary_wa08;-1;0;1;0
56.108;-3.8025;Forth_UpperForthEstuary_wa09;-1;0;1;0
56.0909;-3.7776;Forth_UpperForthEstuary_wa10;-1;0;1;0
56.075;-3.7569;Forth_UpperForthEstuary_wa11;-1;0;1;0
53.3043;7.1567;GROOTGND;-1;0;1;1
54.2488;8.0995;HELGO;-1;0;1;1
54.0835;7.8333;HLOCH;-1;0;1;1
54.0502;7.967;HPAE3;-1;0;1;1
53.5592;6.6612;HUIBGOT;-1;0;1;1
53.5305;1.0532;HumWash_HWOpenSeaS_wa;-1;0;1;0
52.9825;4.75;MARSDND;-1;0;1;1
53.8747;8.7155;MEDEM;-1;1;0;1
57.6833;-3.9317;MorayF_HiltonOfCadboll_wa01;-1;0;1;1
57.7353;-3.385;MorayF_MoFIntermediateS_wa;-1;0;1;0
57.8968;-3.1372;MorayF_MoFOpenSea_wa;-1;0;1;1
57.6473;-3.9013;MorayF_MorayFirthOffshor_wa;-1;0;1;0
57.6883;-4.0417;MorayF_OuterCromartyFirth_wa01;-1;0;1;1
54.1025;8.4617;N3.11;-1;0;1;1
54.5917;8.3917;N3.6a;-1;0;1;1
55.085;8.28;N3.9;-1;0;1;1
54.3328;5.6677;NEFB;-1;0;1;1
54.33;6.7775;NGW8;-1;0;1;1
52.3015;4.3012;NOORDWK10;-1;0;1;1
52.2607;4.4047;NOORDWK2;-1;0;1;1
52.341;4.1735;NOORDWK20;-1;0;1;1
52.5855;3.53;NOORDWK70;-1;0;1;1
53.7992;7.1653;NORDE;-1;0;1;1
54.6813;6.7825;NSB3;-1;0;1;1
54.9982;5.4988;NSGR2;-1;0;1;1
53.5655;6.5628;ROTTMPT3;-1;0;1;1
53.9533;6.3087;ROTTMPT50;-1;0;0;1
54.1175;6.2127;ROTTMPT70;-1;0;0;1
54.6665;5.4997;SWWBA;-1;0;1;1
54.9985;7.9998;SYLT1;-1;0;1;1
53.4605;5.0993;TERSLG10;-1;0;1;1
54.1488;4.3405;TERSLG100;-1;0;1;1
54.415;4.0397;TERSLG135;-1;0;1;1
54.7185;3.6902;TERSLG175;-1;1;0;1
55.1717;3.156;TERSLG235;-1;1;0;1
53.7668;4.7655;TERSLG50;-1;0;1;1
54.4995;8.198;UE28;-1;0;1;1
54.9998;6.7813;URST3;-1;0;1;1
55.2812;6.7752;URST4;-1;0;1;1
53.3133;5.1598;VLIESM;-1;0;1;1
51.375;3.1875;W01;-1;0;0;1
51.225;2.8583;W02;-1;0;0;1
51.1683;2.6667;W03;-1;0;0;1
51.4183;3.2525;W04;-1;1;0;1
51.4167;2.8083;W05;-1;0;0;1
51.2633;2.4683;W06;-1;0;0;1
51.5833;3.0083;W07;-1;0;0;1
51.4583;2.35;W08;-1;1;0;1
51.75;2.7;W09;-1;1;0;1
51.6833;2.4167;W10;-1;1;0;1
51.6578;3.2192;WALCRN20;-1;0;1;1
51.9562;2.6777;WALCRN70;-1;0;1;1
54.0933;8.335;Westl. Suederpiep;-1;0;1;1
