latitude;longitude;stationname;depth;red;green;blue
53.618;9.546;station001_id329310;16.5;1;0;1
53.619;9.552;station001_id340970;18.6;1;0;1
55.916;3.348;station001_id341170;70.7;1;0;1
53.882;8.716;station002_id316011;24.1;1;0;1
53.875;8.728;station002_id329311;20.6;1;0;1
55.5;4;station002_id341171;31.7;1;0;1
53.883;8.716;station002_id341231;21.6;1;0;1
54.001;8.097;station003_id316012;26.2;1;0;1
54.001;8.101;station003_id328570;23;1;0;1
54.003;8.11;station003_id340972;23.4;1;0;1
55.767;4.251;station003_id341172;38.4;1;0;1
54.002;8.116;station003_id341232;26.2;1;0;1
55.402;4.751;station004_id341173;46.8;1;0;1
54;6.42;station005_id340974;28.9;1;0;1
54.001;8.101;station005_id341107;24.1;1;0;1
55;5.001;station005_id341174;41.2;1;0;1
54.05;7.97;station006_id316015;33.1;1;0;1
54.051;7.969;station006_id328571;32;1;0;1
54.226;8.382;station006_id341108;12.4;1;0;1
54.667;4.999;station006_id341175;45.1;1;0;1
54.05;7.967;station006_id341235;30.9;1;0;1
54.05;7.967;station006_id341235;30.9;1;0;1
54.084;7.835;station007_id316016;46.1;1;0;1
54.084;7.834;station007_id328572;45;1;0;1
54.002;4.835;station007_id340977;42.6;1;0;1
54.258;8.1;station007_id341109;17.7;1;0;1
54.335;5.668;station007_id341176;41.3;1;0;1
54.085;7.833;station007_id341236;43.9;1;0;1
53.942;7.401;station008_id316017;27.8;1;0;1
54.181;7.432;station008_id328573;39.9;1;0;1
54.002;2.999;station008_id340979;41.5;1;0;1
54.667;5.5;station008_id341177;44;1;0;1
53.942;7.401;station008_id341237;27;1;0;1
54.18;7.426;station009_id316018;40.2;1;0;1
54.416;7.58;station009_id328574;26;1;0;1
54.666;7.501;station009_id341111;23.8;1;0;1
55;5.5;station009_id341178;40.7;1;0;1
54.179;7.441;station009_id341238;40.6;1;0;1
54.249;8.102;station010_id328575;15.6;1;0;1
54.67;7.833;station010_id341112;15;1;0;1
55.25;5.501;station010_id341179;44.5;1;0;1
54.249;8.106;station010_id341239;18.1;1;0;1
