variable;formula;unit;longname
o2   ; t_o2*1e6*22.4/1000                ;ml/l   ;oxygen concentration
tn   ; (t_lpp+t_spp+t_cya+t_don+t_nh4+t_no3+t_zoo+t_det_1)*1e-3;mmol/m3;total nitrogen concentration
no2n ; 0.0*t_no3*1e-3                    ;mmol/m3;nitrite concentration
no3n ; t_no3*1e-3                        ;mmol/m3;nitrate concentration
nh4n ; t_nh4*1e-3                        ;mmol/m3;ammonium concentration
din  ; (t_no3+t_nh4)*1e3                 ;mmol/m3;dissolved inorganic nitrogen concentration
don  ; t_don*1e-3                        ;mmol/m3;dissolved organic nitrogen concentration
pon  ; (t_lpp+t_spp+t_cya+t_zoo+t_pzoo+t_det_1)*1e-3;mmol/m3;particulate organic nitrogen concentration
tp   ; (t_po4+(t_lpp+t_spp+t_cya+t_zoo+t_det_1)/16)*1e-3;mmol/m3;total phosphorus concentration
po4p ; t_po4*1e-3                        ;mmol/m3;phosphate concentration
no23n; t_no3*1e-3                        ;mmol/m3;nitrate plus nitrite concentration
totoxy;t_o2*1e-3*22.4/1000.0             ;ml/l;oxygen concentration
sio4;  t_sil*1e-3                        ;mmol/m3;silicate concentration
