source_name;target_name
mole_concentration_of_ammonium_in_seawater;t_nh4
mole_concentration_of_nitrate_in_seawater;t_no3
mole_concentration_of_phosphate_in_seawater;t_po4
mole_concentration_of_silicate_in_seawater;t_sil
mole_concentration_of_diatoms_expressed_as_nitrogen_in_seawater;t_lpp
mole_concentration_of_flagellates_expressed_as_nitrogen_in_seawater;t_spp
mole_concentration_of_cyanobacteria_expressed_as_nitrogen_in_seawater;t_cya
mole_concentration_of_zooplankton_expressed_as_nitrogen_in_seawater;t_zoo
mole_concentration_of_protozooplankton_expressed_as_nitrogen_in_seawater;t_pzoo
mole_concentration_of_detritus_expressed_as_nitrogen_in_seawater;t_det_1
mole_concentration_of_detritus_expressed_as_silicate_in_seawater;t_det_2
mole_concentration_of_labile_dissolved_organic_nitrogen_expressed_as_nitrogen_in_seawater;t_don
mole_concentration_of_oxygen_in_seawater;t_o2
mole_concentration_of_ammonium_from_river1N_inflow_in_seawater;t_nh4_river1N
mole_concentration_of_nitrate_from_river1N_inflow_in_seawater;t_no3_river1N
mole_concentration_of_diatoms_expressed_as_nitrogen_from_river1N_inflow_in_seawater;t_lpp_river1N
mole_concentration_of_flagellates_expressed_as_nitrogen_from_river1N_inflow_in_seawater;t_spp_river1N
mole_concentration_of_cyanobacteria_expressed_as_nitrogen_from_river1N_inflow_in_seawater;t_cya_river1N
mole_concentration_of_zooplankton_expressed_as_nitrogen_from_river1N_inflow_in_seawater;t_zoo_river1N
mole_concentration_of_protozooplankton_expressed_as_nitrogen_from_river1N_inflow_in_seawater;t_pzoo_river1N
mole_concentration_of_detritus_expressed_as_nitrogen_from_river1N_inflow_in_seawater;t_det_1_river1N
mole_concentration_of_labile_dissolved_organic_nitrogen_from_river1N_inflow_expressed_as_nitrogen_in_seawater;t_don_river1N
mole_concentration_of_phosphate_from_river1P_inflow_in_seawater;t_po4_river1P
mole_concentration_of_diatoms_expressed_as_nitrogen_from_river1P_inflow_in_seawater;t_lpp_river1P
mole_concentration_of_flagellates_expressed_as_nitrogen_from_river1P_inflow_in_seawater;t_spp_river1P
mole_concentration_of_cyanobacteria_expressed_as_nitrogen_from_river1P_inflow_in_seawater;t_cya_river1P
mole_concentration_of_zooplankton_expressed_as_nitrogen_from_river1P_inflow_in_seawater;t_zoo_river1P
mole_concentration_of_protozooplankton_expressed_as_nitrogen_from_river1P_inflow_in_seawater;t_pzoo_river1P
mole_concentration_of_detritus_expressed_as_nitrogen_from_river1P_inflow_in_seawater;t_det_1_river1P
mole_concentration_of_ammonium_from_river2N_inflow_in_seawater;t_nh4_river2N
mole_concentration_of_nitrate_from_river2N_inflow_in_seawater;t_no3_river2N
mole_concentration_of_diatoms_expressed_as_nitrogen_from_river2N_inflow_in_seawater;t_lpp_river2N
mole_concentration_of_flagellates_expressed_as_nitrogen_from_river2N_inflow_in_seawater;t_spp_river2N
mole_concentration_of_cyanobacteria_expressed_as_nitrogen_from_river2N_inflow_in_seawater;t_cya_river2N
mole_concentration_of_zooplankton_expressed_as_nitrogen_from_river2N_inflow_in_seawater;t_zoo_river2N
mole_concentration_of_protozooplankton_expressed_as_nitrogen_from_river2N_inflow_in_seawater;t_pzoo_river2N
mole_concentration_of_detritus_expressed_as_nitrogen_from_river2N_inflow_in_seawater;t_det_1_river2N
mole_concentration_of_labile_dissolved_organic_nitrogen_from_river2N_inflow_expressed_as_nitrogen_in_seawater;t_don_river2N
mole_concentration_of_phosphate_from_river2P_inflow_in_seawater;t_po4_river2P
mole_concentration_of_diatoms_expressed_as_nitrogen_from_river2P_inflow_in_seawater;t_lpp_river2P
mole_concentration_of_flagellates_expressed_as_nitrogen_from_river2P_inflow_in_seawater;t_spp_river2P
mole_concentration_of_cyanobacteria_expressed_as_nitrogen_from_river2P_inflow_in_seawater;t_cya_river2P
mole_concentration_of_zooplankton_expressed_as_nitrogen_from_river2P_inflow_in_seawater;t_zoo_river2P
mole_concentration_of_protozooplankton_expressed_as_nitrogen_from_river2P_inflow_in_seawater;t_pzoo_river2P
mole_concentration_of_detritus_expressed_as_nitrogen_from_river2P_inflow_in_seawater;t_det_1_river2P
salt;salt
temp;pot_temp
uvel;u
vvel;v
mass_concentration_of_chlorophyll_in_seawater;d_chl
secchi_depth_of_sea_water;d_secchi
mole_concentration_of_nitrogen_in_the_sediment;s_tn
mole_concentration_of_silicate_in_the_sediment;s_sil
mole_concentration_of_nitrogen_from_river1N_inflow_in_the_sediment;s_tn_river1N
mole_concentration_of_nitrogen_from_river1P_inflow_in_the_sediment;s_tn_river1P
mole_concentration_of_nitrogen_from_river2N_inflow_in_the_sediment;s_tn_river2N
mole_concentration_of_nitrogen_from_river2P_inflow_in_the_sediment;s_tn_river2P
